food_id,name,category,calories,fiber_g,sugar_g,protein_g,sodium_mg,carbs_g
39,Turkey bacon,Protein,271,0.0,1.0,22.0,1350,3.0
40,Grilled chicken breast,Protein,165,0.0,0.0,31.0,74,0.0
41,Chicken sausage,Protein,160,0.0,1.0,15.0,550,3.0
42,Low-sodium deli turkey,Protein,104,0.0,1.0,17.0,450,2.0
43,Lean turkey deli slices,Protein,130,0.0,0.5,20.0,700,2.0
44,Potato chips,Snacks,536,4.4,0.3,7.0,525,53.0
45,Buttered movie popcorn,Snacks,431,8.0,0.5,6.0,590,48.0
46,Milk chocolate candy bar,Snacks,535,3.0,51.0,7.6,79,59.0
47,Salted pretzels,Snacks,380,2.6,2.0,10.0,1240,79.0
48,Chocolate chip cookies,Snacks,488,2.6,34.0,5.5,348,68.0
49,Glazed donut,Snacks,452,1.4,22.0,5.0,373,51.0
50,Nacho cheese tortilla chips,Snacks,498,3.9,2.0,7.0,700,60.0
51,Baked potato chips,Snacks,469,4.0,3.0,7.0,450,71.0
52,Air-popped popcorn,Snacks,387,14.5,0.6,13.0,8,78.0
53,Dark chocolate (70%+),Snacks,598,11.0,24.0,7.8,20,46.0
54,Whole wheat pretzels,Snacks,350,6.0,2.0,11.0,750,75.0
55,Low-sugar oatmeal cookies,Snacks,435,3.8,20.0,6.0,280,68.0
56,Baked cinnamon apple slices,Snacks,60,2.4,10.0,0.3,1,16.0
57,Baked tortilla chips with salsa,Snacks,440,6.0,2.0,8.0,380,73.0
58,Cola soda,Beverages,42,0.0,10.6,0.0,4,10.6
59,Sweetened orange juice,Beverages,45,0.2,8.4,0.7,1,10.4
60,Whole milk latte,Beverages,61,0.0,5.0,3.2,40,4.8
61,Energy drink,Beverages,45,0.0,11.0,0.0,20,11.0
62,Sweet tea,Beverages,34,0.0,9.0,0.0,5,9.0
63,Regular beer,Beverages,43,0.0,0.0,0.5,4,3.6
64,"Sparkling water, unsweetened",Beverages,0,0.0,0.0,0.0,7,0.0
65,Fresh whole orange,Beverages,47,2.4,9.4,0.9,0,12.0
66,Skim milk latte,Beverages,35,0.0,5.0,3.4,42,5.0
67,Unsweetened herbal tea,Beverages,1,0.0,0.0,0.0,2,0.3
68,Unsweetened iced tea,Beverages,1,0.0,0.0,0.0,3,0.3
69,Light beer,Beverages,29,0.0,0.3,0.2,5,1.6
70,Mayonnaise,Condiments,680,0.0,1.0,1.0,635,0.6
71,Butter,Condiments,643,0.0,0.1,0.9,11,0.1
72,Ranch dressing,Condiments,460,0.0,3.0,1.0,800,5.0
73,Regular ketchup,Condiments,112,0.3,22.0,1.2,907,27.0
74,Sweetened peanut butter,Condiments,588,6.0,9.0,25.0,429,20.0
75,BBQ sauce,Condiments,172,0.5,33.0,1.0,985,41.0
76,Regular soy sauce,Condiments,60,0.8,4.9,10.5,5493,6.0
77,Greek-yogurt based mayo alternative,Condiments,130,0.0,3.0,9.0,300,4.0
78,Olive oil,Condiments,884,0.0,0.0,0.0,2,0.0
79,Greek yogurt ranch dressing,Condiments,150,0.5,3.0,6.0,380,6.0
80,No-sugar-added ketchup,Condiments,60,0.5,8.0,1.0,400,15.0
81,"Natural peanut butter, no added sugar",Condiments,588,8.0,4.0,25.0,5,16.0
82,Low-sugar BBQ sauce,Condiments,100,0.5,15.0,1.0,550,22.0
83,Low-sodium soy sauce,Condiments,53,0.8,4.0,8.0,2700,6.0
84,Fast food cheeseburger,Fast Food,303,1.5,6.0,15.0,680,30.0
85,French fries,Fast Food,312,3.8,0.3,3.4,210,41.0
86,Fried fish sandwich,Fast Food,240,1.0,3.0,11.0,570,26.0
87,Pepperoni pizza,Fast Food,298,2.1,3.8,13.0,640,33.0
88,Boxed mac and cheese,Fast Food,164,0.9,2.0,6.0,380,20.0
89,Fast food chicken nuggets,Fast Food,296,1.4,0.5,15.0,540,18.0
90,"Beef burrito, fast food",Fast Food,206,3.0,2.0,9.0,500,24.0
91,Grilled chicken burger,Fast Food,165,0.5,2.0,25.0,380,5.0
92,Baked sweet potato fries,Fast Food,150,3.6,5.0,2.0,60,26.0
93,"Grilled fish sandwich, whole wheat bun",Fast Food,190,3.0,3.0,18.0,380,22.0
94,Veggie thin-crust pizza,Fast Food,220,2.8,3.0,10.0,420,28.0
95,"Whole wheat mac and cheese, light",Fast Food,140,3.0,2.0,7.0,280,18.0
96,"Baked chicken tenders, homemade",Fast Food,195,0.8,0.5,22.0,320,10.0
97,"Burrito bowl, no tortilla",Fast Food,150,5.0,2.0,10.0,350,18.0
98,"Granola bar, chocolate",Breakfast,471,4.0,30.0,7.0,260,65.0
99,Bakery blueberry muffin,Breakfast,377,1.5,26.0,5.6,320,55.0
100,Gummy fruit snacks,Breakfast,344,0.0,43.0,0.0,45,84.0
101,Sweetened instant oatmeal,Breakfast,375,5.0,27.0,8.0,320,73.0
102,Table sugar,Breakfast,387,0.0,100.0,0.0,0,100.0
103,Canned fruit in syrup,Breakfast,74,1.0,17.0,0.4,5,19.0
104,Plain oatmeal with fresh fruit,Breakfast,68,1.7,3.0,2.4,4,12.0
105,"Homemade granola bar, low sugar",Breakfast,400,6.0,12.0,9.0,120,55.0
106,"Whole wheat mini muffin, low sugar",Breakfast,280,3.5,12.0,6.0,250,40.0
107,Fresh mixed berries,Breakfast,57,2.4,10.0,0.7,1,14.0
108,Honey,Breakfast,304,0.2,82.0,0.3,4,82.0
109,Fresh apple slices,Breakfast,52,2.4,10.0,0.3,1,14.0
110,Fried shrimp,Seafood,242,0.3,1.0,21.0,566,12.0
111,Frozen breaded fish sticks,Seafood,290,1.5,2.0,12.0,500,20.0
112,Canned tuna in oil,Seafood,198,0.0,0.0,29.0,400,0.0
113,Grilled shrimp,Seafood,99,0.0,0.0,24.0,111,0.2
114,Baked cod fillet,Seafood,105,0.0,0.0,23.0,78,0.0
115,Canned tuna in water,Seafood,116,0.0,0.0,26.0,320,0.0
116,Creamed spinach,Vegetables,115,1.6,2.0,3.0,380,6.0
117,Candied sweet potatoes,Vegetables,190,2.0,25.0,1.5,100,40.0
118,Fried onion rings,Vegetables,411,3.0,4.0,5.0,500,45.0
119,Mayo-based coleslaw,Vegetables,150,1.5,10.0,1.0,300,12.0
120,Steamed spinach,Vegetables,23,2.2,0.4,2.9,79,3.6
121,Roasted sweet potato,Vegetables,90,3.3,6.0,2.0,36,21.0
122,Baked onion rings,Vegetables,280,3.5,4.0,5.0,400,40.0
123,Vinegar-based coleslaw,Vegetables,60,1.8,5.0,1.0,200,8.0
124,Fruit roll-up,Fruits,375,1.0,45.0,0.0,90,90.0
125,Sweetened applesauce,Fruits,80,1.2,17.0,0.2,5,20.0
126,Fresh sliced banana,Fruits,89,2.6,12.0,1.1,1,23.0
127,Unsweetened applesauce,Fruits,42,1.2,9.0,0.2,3,11.0
128,Honey roasted peanuts,Nuts & Seeds,590,6.0,15.0,22.0,400,30.0
129,Trail mix with candy,Nuts & Seeds,462,5.0,33.0,12.0,200,45.0
130,Raw unsalted almonds,Nuts & Seeds,579,12.5,4.4,21.0,1,22.0
131,"Trail mix, nuts and seeds only",Nuts & Seeds,550,8.0,10.0,18.0,50,25.0
132,General Tso's chicken,International,268,1.0,12.0,14.0,700,25.0
133,Restaurant pad thai,International,220,1.5,8.0,8.0,600,33.0
134,"Beef pho, full broth",International,130,1.0,2.0,9.0,900,15.0
135,Chicken tikka masala,International,190,1.0,5.0,14.0,480,8.0
136,Beef nachos supreme,International,300,3.0,2.0,12.0,650,28.0
137,Chicken and vegetable stir-fry,International,150,3.0,4.0,22.0,380,8.0
138,"Veggie-forward pad thai, light sauce",International,180,3.0,5.0,9.0,400,26.0
139,"Chicken pho, light broth",International,110,1.0,2.0,10.0,550,14.0
140,"Tandoori chicken, no cream sauce",International,150,0.5,2.0,24.0,380,3.0
141,Chicken fajita bowl,International,180,4.0,3.0,18.0,400,18.0
142,Canned cream of mushroom soup,Soups,88,0.5,1.0,1.7,700,7.0
143,"Canned chicken noodle soup, regular",Soups,55,0.5,1.0,3.0,620,7.0
144,Low-sodium vegetable soup,Soups,40,2.0,3.0,1.5,300,8.0
145,Low-sodium chicken noodle soup,Soups,50,0.7,1.0,3.5,250,6.0
146,Frozen lasagna dinner,Frozen Meals,140,1.0,4.0,7.0,480,17.0
147,Frozen fried chicken dinner,Frozen Meals,250,1.0,2.0,13.0,620,20.0
148,Frozen cauliflower-crust lasagna,Frozen Meals,100,2.5,3.0,8.0,380,9.0
149,Frozen grilled chicken meal,Frozen Meals,140,2.0,2.0,18.0,420,10.0
150,Cheesecake,Desserts,321,0.4,21.0,5.5,220,26.0
151,Brownie,Desserts,466,2.4,36.0,5.0,245,63.0
152,Apple pie,Desserts,237,1.6,15.0,2.0,167,34.0
153,Milkshake,Desserts,112,0.0,15.0,3.0,70,18.0
154,Greek yogurt cheesecake bites,Desserts,180,0.0,12.0,8.0,150,15.0
155,Flourless black bean brownie,Desserts,300,5.0,20.0,7.0,180,40.0
156,"Baked cinnamon apple, no crust",Desserts,70,2.5,12.0,0.4,2,18.0
157,"Fruit smoothie, no added sugar",Desserts,70,1.5,9.0,2.0,20,15.0
158,Sugary margarita mix cocktail,Alcohol,150,0.0,15.0,0.0,20,18.0
159,Sweet dessert wine,Alcohol,160,0.0,12.0,0.2,10,14.0
160,Vodka soda with lime,Alcohol,60,0.0,0.0,0.0,5,0.0
161,Dry red wine,Alcohol,85,0.0,0.6,0.1,4,2.6
162,Regular jam,Condiments,278,0.5,65.0,0.3,25,70.0
163,Chocolate hazelnut spread,Condiments,539,3.4,56.0,6.0,40,58.0
164,Sweetened canned whipped cream,Condiments,257,0.0,12.0,2.0,40,13.0
165,Reduced-sugar jam,Condiments,130,1.0,30.0,0.3,20,34.0
166,Natural almond butter,Condiments,614,10.0,4.0,21.0,1,19.0
167,Greek yogurt whipped topping,Condiments,90,0.0,6.0,8.0,30,8.0
168,Sugary fruit punch drink,Beverages,46,0.0,11.0,0.0,10,11.5
169,Cheese puff snacks,Snacks,550,1.0,2.0,7.0,950,55.0
170,Sugary fruit-flavored yogurt tube,Dairy,100,0.0,13.0,2.0,45,17.0
171,Water infused with fresh fruit,Beverages,5,0.1,1.0,0.0,2,1.0
172,Baked cheese crisps,Snacks,480,0.0,1.0,40.0,700,3.0
173,Plain kefir with fresh fruit,Dairy,60,0.5,6.0,3.5,40,7.0
174,Toaster pastry,Breakfast,400,1.5,33.0,4.0,340,71.0
175,Breakfast sausage patty,Protein,320,0.0,0.0,13.0,780,1.0
176,Fried hash browns,Breakfast,265,2.0,1.0,3.0,400,35.0
177,Whole grain toast with almond butter,Breakfast,280,5.0,6.0,10.0,180,28.0
178,Turkey breakfast sausage,Protein,170,0.0,0.0,16.0,550,1.0
179,Oven-baked hash browns,Breakfast,180,2.5,1.0,3.0,320,32.0
180,Loaded baked potato,Fast Food,240,2.0,2.0,6.0,450,26.0
181,Fast food fried chicken sandwich,Fast Food,280,1.5,4.0,14.0,640,28.0
182,Loaded restaurant nachos,Fast Food,320,3.0,2.0,10.0,700,30.0
183,Baked potato with salsa and Greek yogurt,Fast Food,130,3.0,2.0,5.0,180,24.0
184,Fast food grilled chicken sandwich,Fast Food,180,1.5,3.0,20.0,480,18.0
185,"Bean and salsa nachos, light cheese",Fast Food,200,5.0,2.0,9.0,420,24.0
186,Restaurant fried rice,Grains,220,1.0,1.0,5.0,550,33.0
187,"Buttermilk biscuit, from can",Grains,330,1.0,5.0,6.0,800,45.0
188,Cauliflower fried rice,Grains,90,3.0,2.0,4.0,300,10.0
189,Whole wheat biscuit,Grains,280,4.0,3.0,7.0,550,38.0
190,Whole milk chocolate milk,Dairy,83,0.5,10.0,3.2,60,12.0
191,Regular cottage cheese (4%),Dairy,98,0.0,3.4,11.0,364,3.4
192,Low-fat chocolate milk,Dairy,62,0.5,8.0,3.2,55,9.5
193,Low-fat cottage cheese (1%),Dairy,72,0.0,2.7,12.0,406,2.7
194,Breaded fried pork chop,Protein,290,0.5,1.0,24.0,480,10.0
195,Sugary beef jerky,Protein,410,1.6,12.0,33.0,1780,11.0
196,Canned corned beef,Protein,250,0.0,0.0,24.0,950,0.0
197,Grilled pork tenderloin,Protein,143,0.0,0.0,26.0,55,0.0
198,Low-sodium beef jerky,Protein,350,1.6,6.0,34.0,900,8.0
199,"Roast turkey breast, sliced",Protein,135,0.0,0.0,30.0,380,0.0
